speaker,word,word_start,consonant_duration,voicing_duration,sentence_norm
lm01,sach,338.719932,0.2928630579107221,0.08153434583459784,a vighi ul sach
lm02,pass,10.359932,0.30006389421524027,0,a fagh un pass
lm02,lagh,12.509909,0.14759373531252962,0.04263509872154536,ul lagh l' è sü
lm02,fögh,15.769977,0.24918393797488392,0.015956771511625334,a vighi ul fögh
lm02,fögh,18.049955,0.11411424454583496,0.03285984552452348,ul fögh l' è russ
lm02,tüss,21.074796877542116,0.23576602067516106,0.039665682142874914,la tüss la vegn cul frecc
lm02,göb,24.364943,0.10014208686608939,0.028354143113425323,ul göb l' è bass
lm02,tus,27.489694156903564,0.137970371014962,0.0388226776024041,ul me tus l' è grand
lm02,növ,30.87696442675127,0.1220649302390342,0.1220649302390342,ul papa növ l' è giuvin
lm02,növ,34.0966804186167,0.11870281397931848,0.10313338532566263,cul lì l' è növ
lm02,pich,36.92865739182791,0.32072100880927934,0.024203198762457134,a g' ho dai un pich
lm02,figh,39.164966,0.09693379453104711,0.04559302340970106,ul figh l' è dulz
lm02,sed,42.49851732825311,0.20822815121483274,0,a g' ho sed
lm02,figh,46.23745893515897,0.17053167556387194,0.016926359918883804,a vighi ul figh
lm02,nas,48.904943,0.22976899444395116,0.016629840508159077,a vighi ul nas
lm02,tus,51.674966,0.2351542052512272,0,a vighi ul tus
lm02,lagh,54.394966,0.15617111341112633,0.010906492856442185,a vighi ul lagh
lm02,göb,57.16,0.18825802754061982,0.05580760122449391,a vighi ul göb
lm02,set,60.009977,0.31952250789861836,0.014733978725388397,a gn' ho set
lm02,sach,62.659977,0.29798166466949993,0,a vighi ul sach
lm02,nas,65.0377994735847,0.1077041044245135,0.03263193355496696,ul nas l' è lung
lm02,set,67.91,0.1990043384646043,0.014285029946620398,ul set l' è un nümar
lm02,tüss,71.1286688758162,0.29080108194618504,0.0233165492967089,a g' ho la tüss
lm02,pass,74.014966,0.18489204592874842,0.04037584684998308,ti gh' è ul pass lent
lm02,pich,77.149932,0.15179511350551422,0.02424135671124361,l' ass da pich l' è na carta
lm02,sach,80.029977,0.1974136036094194,0.029314533162406065,ul sach l' è pien
lm02,sed,83.02515506334514,0.0969336939820522,0.05490693290060733,la sed l' è brüta
lm02,pass,86.394921,0.30604924696059754,0.03522434624429138,a fagh un pass
lm02,sed,88.684943,0.09450670733068023,0.09450670733068023,la sed l' è brüta
lm02,figh,91.80805589504695,0.11129424123866727,0,a vighi ul figh
lm02,lagh,94.554943,0.19027725114996485,0.07479425052106592,a vighi ul lagh
lm02,sach,96.559955,0.1729510357403541,0.04334498140106291,ul sach l' è pien
lm02,set,99.239932,0.1592146493315738,0.022986759477362284,ul set l' è un nümar
lm02,lagh,102.22,0.11294778157750329,0.02159948393413913,ul lagh l' è sü
lm02,pich,105.14,0.1707172116618807,0.014771815016558776,l' ass da pich l' è na carta
lm02,göb,108.269932,0.10949917283157617,0.055186579761667076,ul göb l' è bass
lm02,sach,111.23,0.21002300362779636,0,a vighi ul sach
lm02,fögh,113.539955,0.11308930964574415,0.018152472575792444,ul fögh l' è russ
lm02,növ,116.80567618919898,0.046671778583956325,0.046671778583956325,ul papa növ l' è giuvin
lm02,set,120.019955,0.3231123132735263,0.01938066749002587,a gn' ho set
lm02,pich,122.999932,0.2961862871674015,0.030122286091256,a g' ho dai un pich
lm02,sed,125.4659942044034,0.23694902973392118,0.031198990992962194,a g' ho sed
lm02,növ,128.13842650666004,0.09334349907294381,0.03551696974494689,cul lì l' è növ
lm02,tus,130.649955,0.22797349851751392,0,a vighi ul tus
lm02,pass,133.779932,0.2043065599952456,0.027189843443068185,ti gh' è ul pass lent
lm02,tüss,136.70524458604828,0.2172030970127139,0.02378723422086182,la tüss la vegn cul frecc
lm02,fögh,141.059955,0.18309682558097506,0.026332287479192473,a vighi ul fögh
lm02,nas,143.924696597053,0.2837777485788706,0,a vighi ul nas
lm02,figh,146.374966,0.1615560225714603,0.05589847955340588,ul figh l' è dulz
lm02,nas,149.319977,0.08592487547539918,0.08592487547539918,ul nas l' è lung
lm02,göb,152.649955,0.22617843160003304,0.05770624563746196,a vighi ul göb
lm02,tus,155.46118909495337,0.1561708218190745,0.014574906154308565,ul me tus l' è grand
lm02,tüss,158.9056559240625,0.3787591195842026,0.01369624339261577,a g' ho la tüss
lm02,pich,161.699955,0.18997866074562353,0,l' ass da pich l' è na carta
lm02,növ,165.57932516579402,0.16514615640639363,0.08374580846984259,cul lì l' è növ
lm02,fögh,168.454966,0.1866869594159084,0.027171280991439062,a vighi ul fögh
lm02,set,170.899977,0.15300837087482932,0.014165016711501721,ul set l' è un nümar
lm02,tüss,174.599955,0.34465284815243535,0.021840282753373685,a g' ho la tüss
lm02,tus,177.18200830312938,0.09820956407230597,0.09820956407230597,ul me tus l' è grand
lm02,lagh,180.629955,0.17950669174604172,0.013762650134822252,a vighi ul lagh
lm02,nas,183.219909,0.10403893282355625,0.011616801488912643,ul nas l' è lung
lm02,sed,186.089977,0.09154841279050174,0.09154841279050174,la sed l' è brüta
lm02,set,189.394966,0.3428577812349829,0.022144365160926327,a gn' ho set
lm02,fögh,191.664943,0.0825730782031826,0.026674262320256048,ul fögh l' è russ
lm02,sach,194.499955,0.19207216016826578,0.005509819460428389,ul sach l' è pien
lm02,tüss,197.37917611710714,0.21618830563113534,0.026527063770515724,la tüss la vegn cul frecc
lm02,göb,201.43,0.19396333963166512,0.05186488083225527,a vighi ul göb
lm02,figh,204.38,0.21517807990389315,0.07202168602370307,a vighi ul figh
lm02,göb,206.64,0.08485896108885527,0.04420972723164596,ul göb l' è bass
lm02,lagh,209.374943,0.08788963827058183,0.08788963827058183,ul lagh l' è sü
lm02,figh,212.099977,0.12506336365265724,0.12506336365265724,ul figh l' è dulz
lm02,nas,215.32394273735508,0.23740304590333494,0,a vighi ul nas
lm02,sed,218.09640386135942,0.24346440026681648,0.024282321701150522,a g' ho sed
lm02,sach,227.73,0.2656893662662867,0,a vighi ul sach
lm02,pass,231.049932,0.34246652153717605,0,a fagh un pass
lm02,növ,236.8884762939376,0.08687941254336806,0.08687941254336806,ul papa növ l' è giuvin
lm02,göb,240.33,0.26973026917528387,0.057168299198394834,a vighi ul göb
lm02,sed,242.72644205601603,0.08283850963434247,0.08283850963434247,la sed l' è brüta
lm02,tüss,245.4541284150435,0.26063823763007576,0.010414149040457232,la tüss la vegn cul frecc
lm02,set,249.2663519926154,0.31620065262870867,0.008510255153453272,a gn' ho set
lm02,nas,251.519977,0.12627821590604071,0.03269173215807086,ul nas l' è lung
lm02,növ,254.78628562619684,0.08610681335485992,0.0766072085736198,ul papa növ l' è giuvin
lm02,lagh,258.294943,0.12627821590609756,0,a vighi ul lagh
lm02,tus,261.76804024322456,0.26236561402782854,0,a vighi ul tus
lm02,pass,264.564966,0.34691770459050986,0.033134658215772106,a fagh un pass
lm02,fögh,267.84,0.16078993714489798,0,a vighi ul fögh
lm02,tüss,271.3704638056114,0.33034381281021297,0.015498552529720655,a g' ho la tüss
lm02,fögh,273.81,0.12223731299707197,0.03295666358928884,ul fögh l' è russ
lm02,tus,277.079955,0.12168504796619573,0.02201170251464646,ul me tus l' è grand
lm02,lagh,280.159932,0.12000000000000455,0,ul lagh l' è sü
lm02,figh,283.724943,0.1616361163597162,0,a vighi ul figh
lm02,pich,286.474943,0.15419811394195904,0,l' ass da pich l' è na carta
lm02,pass,290.31492027856666,0.1470074788927036,0.018813350331640777,ti gh' è ul pass lent
lm02,növ,293.6389223232742,0.19194288817720917,0,cul lì l' è növ
lm02,pich,296.55402690950547,0.28387342935678817,0,a g' ho dai un pich
lm02,set,298.749955,0.19598379108617792,0,ul set l' è un nümar
lm02,figh,302.214989,0.10774351953773476,0.10774351953773476,ul figh l' è dulz
lm02,sed,305.50101788784826,0.18790198526824042,0,a g' ho sed
lm02,göb,307.97917849224535,0.11213505572453641,0.03688925689948519,ul göb l' è bass
lm02,nas,311.27158103280465,0.20709627408592723,0,a vighi ul nas
lm02,sach,313.944966,0.26973026917528387,0,a vighi ul sach
lm02,sach,316.114943,0.11487266814521035,0.019007328139764468,ul sach l' è pien
lm02,növ,319.2328356624126,0.1324000684121529,0.1324000684121529,ul papa növ l' è giuvin
lm02,pich,322.73940605714836,0.23033146581263964,0,a g' ho dai un pich
lm02,tüss,325.374943,0.3364051671736661,0.004985035852371311,a g' ho la tüss
lm02,set,327.614966,0.2101880823591955,0,ul set l' è un nümar
lm02,nas,330.64740122981567,0.11733123189731032,0,ul nas l' è lung
lm02,pass,333.884943,0.1832863890030012,0.021112027734318417,ti gh' è ul pass lent
lm02,sach,336.5240380761331,0.0863124301228595,0,ul sach l' è pien
lm02,nas,340.05116795471326,0.22528033717640028,0,a vighi ul nas
lm02,növ,342.9825649413456,0.13537024745124882,0,cul lì l' è növ
lm02,göb,345.399932,0.029999999999972715,0.029999999999972715,ul göb l' è bass
lm02,sed,348.084966,0.07677715527091777,0,la sed l' è brüta
lm02,tus,351.704966,0.26221309021838124,0.013276152293769883,a vighi ul tus
lm02,figh,353.954943,0.06999999999999318,0,ul figh l' è dulz
lm02,pass,357.5400196416752,0.3394358443554779,0,a fagh un pass
lm02,figh,360.124966,0.22325988572185906,0,a vighi ul figh
lm02,set,362.7880135790405,0.3192313298105205,0,a gn' ho set
lm02,sach,365.611388875553,0.2303314658125828,0,a vighi ul sach
lm02,sed,368.56564830408763,0.22022920854016093,0,a g' ho sed
lm02,fögh,371.0351620894597,0.08991008972515147,0.023432810941699245,ul fögh l' è russ
lm02,lagh,373.814966,0.12000000000000455,0.02596900086240339,ul lagh l' è sü
lm02,tüss,376.62635026748603,0.20204514544968788,0.01869234417745247,la tüss la vegn cul frecc
lm02,pich,380.549955,0.2454848517213577,0,l' ass da pich l' è na carta
lm02,lagh,384.449977,0.1940573294815522,0,a vighi ul lagh
lm02,fögh,387.194966,0.11819641008804638,0,a vighi ul fögh
lm02,göb,390.169955,0.20103491972241727,0.05918555261422398,a vighi ul göb
lm02,tus,392.914943,0.14648273045105498,0.020097519915054818,ul me tus l' è grand
