index,burst,voicing,file_name,vowel,correct_answer,side_condition,condition,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,key_resp_5.keys,key_resp_5.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_6.keys,key_resp_6.corr,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,date,frameRate,expName,participant,
23,5,1,../data/raw/stimuli/piti1.wav,i,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,0,34,34,22,,,,,,,,,,,,,,,,z,0.485877037048,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
32,2,0,../data/raw/stimuli/pudu2.wav,u,,t_left,burst,,,,,,,,,0,0,0,0,,,,,0,35,35,31,,,,,,,,,,,,,,,,z,0.434036016464,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
22,5,0,../data/raw/stimuli/piti0.wav,i,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,0,36,36,21,,,,,,,,,,,,,,,,z,0.186167955399,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
35,5,0,../data/raw/stimuli/pudu5.wav,u,,t_left,burst,,,,,,,,,0,0,0,0,,,,,0,37,37,34,,,,,,,,,,,,,,,,z,0.170097112656,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
5,3,0,../data/raw/stimuli/pada3.wav,a,,t_left,burst,,,,,,,,,0,0,0,0,,,,,0,38,38,4,,,,,,,,,,,,,,,,z,1.10290312767,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
21,5,0,../data/raw/stimuli/pidi5.wav,i,,t_left,burst,,,,,,,,,0,0,0,0,,,,,1,0,39,20,,,,,,,,,,,,,,,,z,0.335741996765,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
3,1,0,../data/raw/stimuli/pada1.wav,a,,t_left,burst,,,,,,,,,0,0,0,0,,,,,1,1,40,2,,,,,,,,,,,,,,,,z,1.85443401337,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
31,1,0,../data/raw/stimuli/pudu1.wav,u,,t_left,burst,,,,,,,,,0,0,0,0,,,,,1,2,41,30,,,,,,,,,,,,,,,,slash,1.25313091278,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
29,0,5,../data/raw/stimuli/pudu.wav,u,,t_left,confound,,,,,,,,,0,0,0,0,,,,,1,3,42,28,,,,,,,,,,,,,,,,slash,0.35281586647,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
25,5,3,../data/raw/stimuli/piti3.wav,i,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,1,4,43,24,,,,,,,,,,,,,,,,z,1.20241308212,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
33,3,0,../data/raw/stimuli/pudu3.wav,u,,t_left,burst,,,,,,,,,0,0,0,0,,,,,1,5,44,32,,,,,,,,,,,,,,,,z,1.11927008629,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
11,5,3,../data/raw/stimuli/pata3.wav,a,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,1,6,45,10,,,,,,,,,,,,,,,,z,0.719264984131,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
20,4,0,../data/raw/stimuli/pidi4.wav,i,,t_left,burst,,,,,,,,,0,0,0,0,,,,,1,7,46,19,,,,,,,,,,,,,,,,z,0.453022003174,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
34,4,0,../data/raw/stimuli/pudu4.wav,u,,t_left,burst,,,,,,,,,0,0,0,0,,,,,1,8,47,33,,,,,,,,,,,,,,,,z,1.87047719955,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
30,0,0,../data/raw/stimuli/pudu0.wav,u,,t_left,burst,,,,,,,,,0,0,0,0,,,,,1,9,48,29,,,,,,,,,,,,,,,,slash,0.386380910873,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
8,5,0,../data/raw/stimuli/pata0.wav,a,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,1,10,49,7,,,,,,,,,,,,,,,,z,0.436263084412,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
22,5,0,../data/raw/stimuli/piti0.wav,i,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,1,11,50,21,,,,,,,,,,,,,,,,z,0.453171014786,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
9,5,1,../data/raw/stimuli/pata1.wav,a,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,1,12,51,8,,,,,,,,,,,,,,,,z,0.835937976837,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
35,5,0,../data/raw/stimuli/pudu5.wav,u,,t_left,burst,,,,,,,,,0,0,0,0,,,,,1,13,52,34,,,,,,,,,,,,,,,,z,1.45292901993,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
19,3,0,../data/raw/stimuli/pidi3.wav,i,,t_left,burst,,,,,,,,,0,0,0,0,,,,,1,14,53,18,,,,,,,,,,,,,,,,z,0.386568784714,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
7,5,0,../data/raw/stimuli/pada5.wav,a,,t_left,burst,,,,,,,,,0,0,0,0,,,,,1,15,54,6,,,,,,,,,,,,,,,,z,1.03647589684,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
32,2,0,../data/raw/stimuli/pudu2.wav,u,,t_left,burst,,,,,,,,,0,0,0,0,,,,,1,16,55,31,,,,,,,,,,,,,,,,slash,0.734595060349,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
5,3,0,../data/raw/stimuli/pada3.wav,a,,t_left,burst,,,,,,,,,0,0,0,0,,,,,1,17,56,4,,,,,,,,,,,,,,,,z,0.567336082458,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
13,5,5,../data/raw/stimuli/pata5.wav,a,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,1,18,57,12,,,,,,,,,,,,,,,,slash,0.453308105469,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
16,0,0,../data/raw/stimuli/pidi0.wav,i,,t_left,burst,,,,,,,,,0,0,0,0,,,,,1,19,58,15,,,,,,,,,,,,,,,,z,0.869383096695,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
4,2,0,../data/raw/stimuli/pada2.wav,a,,t_left,burst,,,,,,,,,0,0,0,0,,,,,1,20,59,3,,,,,,,,,,,,,,,,z,0.652989864349,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
26,5,4,../data/raw/stimuli/piti4.wav,i,,t_left,voicing,,,,,,,,,0,0,0,0,,,,,1,21,60,25,,,,,,,,,,,,,,,,z,1.00107097626,2018_Feb_01_1112,59.9678021692,perceptual-pilot,m004,
