index,burst,voicing,file_name,vowel,correct_answer,side_condition,condition,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,key_resp_5.keys,key_resp_5.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,participant,
20,4,0,../data/raw/stimuli/pidi4.wav,i,,t_right,burst,0,0,0,0,,,,,1,31,70,19,,,,,,,,,,,,,,,,,,,,slash,0.402154922485,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
6,4,0,../data/raw/stimuli/pada4.wav,a,,t_right,burst,0,0,0,0,,,,,1,32,71,5,,,,,,,,,,,,,,,,,,,,slash,0.419596910477,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
30,0,0,../data/raw/stimuli/pudu0.wav,u,,t_right,burst,0,0,0,0,,,,,1,33,72,29,,,,,,,,,,,,,,,,,,,,z,0.202282905579,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
33,3,0,../data/raw/stimuli/pudu3.wav,u,,t_right,burst,0,0,0,0,,,,,1,34,73,32,,,,,,,,,,,,,,,,,,,,z,0.219414949417,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
13,5,5,../data/raw/stimuli/pata5.wav,a,,t_right,voicing,0,0,0,0,,,,,1,35,74,12,,,,,,,,,,,,,,,,,,,,z,0.353405952454,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
25,5,3,../data/raw/stimuli/piti3.wav,i,,t_right,voicing,0,0,0,0,,,,,1,36,75,24,,,,,,,,,,,,,,,,,,,,slash,0.419365167618,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
5,3,0,../data/raw/stimuli/pada3.wav,a,,t_right,burst,0,0,0,0,,,,,1,37,76,4,,,,,,,,,,,,,,,,,,,,slash,0.519567966461,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
26,5,4,../data/raw/stimuli/piti4.wav,i,,t_right,voicing,0,0,0,0,,,,,1,38,77,25,,,,,,,,,,,,,,,,,,,,z,0.836055040359,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
30,0,0,../data/raw/stimuli/pudu0.wav,u,,t_right,burst,0,0,0,0,,,,,2,0,78,29,,,,,,,,,,,,,,,,,,,,z,0.353055000305,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
4,2,0,../data/raw/stimuli/pada2.wav,a,,t_right,burst,0,0,0,0,,,,,2,1,79,3,,,,,,,,,,,,,,,,,,,,slash,0.467373132706,2018_Jan_11_1419,59.9649729291,perceptual-pilot,f001,
