index,burst,voicing,file_name,vowel,correct_answer,side_condition,condition,trials_7.thisRepN,trials_7.thisTrialN,trials_7.thisN,trials_7.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,key_resp_5.keys,key_resp_5.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,participant,
24,5,2,../data/raw/stimuli/piti2.wav,i,,t_right,voicing,,,,,0,0,0,0,,,,,1,36,75,23,,,,,,,,,,,,,,,,,,,,slash,0.368800163269,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
12,5,4,../data/raw/stimuli/pata4.wav,a,,t_right,voicing,,,,,0,0,0,0,,,,,1,37,76,11,,,,,,,,,,,,,,,,,,,,slash,0.502665042877,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
10,5,2,../data/raw/stimuli/pata2.wav,a,,t_right,voicing,,,,,0,0,0,0,,,,,1,38,77,9,,,,,,,,,,,,,,,,,,,,slash,0.436370134354,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
32,2,0,../data/raw/stimuli/pudu2.wav,u,,t_right,burst,,,,,0,0,0,0,,,,,2,0,78,31,,,,,,,,,,,,,,,,,,,,z,0.586176872253,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
3,1,0,../data/raw/stimuli/pada1.wav,a,,t_right,burst,,,,,0,0,0,0,,,,,2,1,79,2,,,,,,,,,,,,,,,,,,,,z,0.485736846924,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
33,3,0,../data/raw/stimuli/pudu3.wav,u,,t_right,burst,,,,,0,0,0,0,,,,,2,2,80,32,,,,,,,,,,,,,,,,,,,,z,0.552477836609,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
38,5,2,../data/raw/stimuli/putu2.wav,u,,t_right,voicing,,,,,0,0,0,0,,,,,2,3,81,37,,,,,,,,,,,,,,,,,,,,z,0.286201000214,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
7,5,0,../data/raw/stimuli/pada5.wav,a,,t_right,burst,,,,,0,0,0,0,,,,,2,4,82,6,,,,,,,,,,,,,,,,,,,,slash,0.485994100571,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
10,5,2,../data/raw/stimuli/pata2.wav,a,,t_right,voicing,,,,,0,0,0,0,,,,,2,5,83,9,,,,,,,,,,,,,,,,,,,,slash,0.469267129898,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
11,5,3,../data/raw/stimuli/pata3.wav,a,,t_right,voicing,,,,,0,0,0,0,,,,,2,6,84,10,,,,,,,,,,,,,,,,,,,,slash,0.369464874268,2018_Jan_25_1508,59.9678879079,perceptual-pilot,f003,
