stimulus_id,stimulus,sentence,word,consonant_1,vowel,consonant_2,backness,height,place_1,place_2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,date,frameRate,expName,participant,
7,Sentivo "pepo" di nuovo,Sentivo X di nuovo,pepo,p,e,p,front,mid-high,labial,labial,0,97,97,6,space,1.10143899918,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
34,Ha detto "puto" sei volte,Ha detto X sei volte,puto,p,u,t,back,high,labial,coronal,0,98,98,33,space,1.0531270504,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
91,Sentivo "toto" di nuovo,Sentivo X di nuovo,toto,t,o,t,back,mid-low,coronal,coronal,0,99,99,90,space,0.969430923462,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
156,Ripete "cuto" da sempre,Ripete X da sempre,cuto,k,u,t,back,high,velar,coronal,0,100,100,155,space,1.12096095085,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
95,Sentivo "tuto" di nuovo,Sentivo X di nuovo,tuto,t,u,t,back,high,coronal,coronal,0,101,101,94,space,0.984563827515,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
87,Sentivo "tito" di nuovo,Sentivo X di nuovo,tito,t,i,t,front,high,coronal,coronal,0,102,102,86,space,0.902643918991,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
68,Ripete "tipo" da sempre,Ripete X da sempre,tipo,t,i,p,front,high,coronal,labial,0,103,103,67,space,1.06997704506,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
111,Sentivo "toco" di nuovo,Sentivo X di nuovo,toco,t,o,k,back,mid-low,coronal,velar,0,104,104,110,space,0.852464914322,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
127,Sentivo "chipo" di nuovo,Sentivo X di nuovo,chipo,k,i,p,front,high,velar,labial,0,105,105,126,space,0.904016971588,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
107,Sentivo "tico" di nuovo,Sentivo X di nuovo,tico,t,i,k,front,high,coronal,velar,0,106,106,106,space,0.819388866425,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
36,Ripete "puto" da sempre,Ripete X da sempre,puto,p,u,t,back,high,labial,coronal,0,107,107,35,space,0.802605867386,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
165,Scrivete "coco" sul foglio,Scrivete X sul foglio,coco,k,o,k,back,mid-low,velar,velar,0,108,108,164,space,1.15358805656,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
146,Ha detto "chito" sei volte,Ha detto X sei volte,chito,k,i,t,front,high,velar,coronal,0,109,109,145,space,1.02907180786,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
19,Sentivo "pupo" di nuovo,Sentivo X di nuovo,pupo,p,u,p,back,high,labial,labial,0,110,110,18,space,1.08677983284,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
70,Ha detto "topo" sei volte,Ha detto X sei volte,topo,t,o,p,back,mid-low,coronal,labial,0,111,111,69,space,1.11935091019,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
72,Ripete "topo" da sempre,Ripete X da sempre,topo,t,o,p,back,mid-low,coronal,labial,0,112,112,71,space,1.0537109375,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
47,Sentivo "pico" di nuovo,Sentivo X di nuovo,pico,p,i,k,front,high,labial,velar,0,113,113,46,space,0.821793079376,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
9,Scrivete "pipo" sul foglio,Scrivete X sul foglio,pipo,p,i,p,front,high,labial,labial,0,114,114,8,space,1.06435394287,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
60,Ripete "tapo" da sempre,Ripete X da sempre,tapo,t,a,p,central,low,coronal,labial,0,115,115,59,space,2.53899288177,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
79,Sentivo "tato" di nuovo,Sentivo X di nuovo,tato,t,a,t,central,low,coronal,coronal,0,116,116,78,space,1.07116603851,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
35,Sentivo "puto" di nuovo,Sentivo X di nuovo,puto,p,u,t,back,high,labial,coronal,0,117,117,34,space,0.942300081253,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
136,Ripete "cupo" da sempre,Ripete X da sempre,cupo,k,u,p,back,high,velar,labial,0,118,118,135,space,1.11961007118,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
130,Ha detto "copo" sei volte,Ha detto X sei volte,copo,k,o,p,back,mid-low,velar,labial,0,119,119,129,space,1.01894783974,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
135,Sentivo "cupo" di nuovo,Sentivo X di nuovo,cupo,k,u,p,back,high,velar,labial,0,120,120,134,space,0.953889131546,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
71,Sentivo "topo" di nuovo,Sentivo X di nuovo,topo,t,o,p,back,mid-low,coronal,labial,0,121,121,70,space,0.871281147003,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
141,Scrivete "cheto" sul foglio,Scrivete X sul foglio,cheto,k,e,t,front,mid-high,velar,coronal,0,122,122,140,space,1.0381538868,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
144,Ripete "cheto" da sempre,Ripete X da sempre,cheto,k,e,t,front,mid-high,velar,coronal,0,123,123,143,space,1.19649815559,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
50,Ha detto "poco" sei volte,Ha detto X sei volte,poco,p,o,k,back,mid-low,labial,velar,0,124,124,49,space,1.02096605301,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
104,Ripete "teco" da sempre,Ripete X da sempre,teco,t,e,k,front,mid-high,coronal,velar,0,125,125,103,space,1.00393795967,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
139,Sentivo "cato" di nuovo,Sentivo X di nuovo,cato,k,a,t,central,low,velar,coronal,0,126,126,138,space,0.820480823517,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
152,Ripete "coto" da sempre,Ripete X da sempre,coto,k,o,t,back,mid-low,velar,coronal,0,127,127,151,space,0.853297948837,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
129,Scrivete "copo" sul foglio,Scrivete X sul foglio,copo,k,o,p,back,mid-low,velar,labial,0,128,128,128,space,0.902289152145,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
69,Scrivete "topo" sul foglio,Scrivete X sul foglio,topo,t,o,p,back,mid-low,coronal,labial,0,129,129,68,space,0.921318054199,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
169,Scrivete "cuco" sul foglio,Scrivete X sul foglio,cuco,k,u,k,back,high,velar,velar,0,130,130,168,space,0.972307920456,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
74,Ha detto "tupo" sei volte,Ha detto X sei volte,tupo,t,u,p,back,high,coronal,labial,0,131,131,73,space,1.03580093384,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
120,Ripete "capo" da sempre,Ripete X da sempre,capo,k,a,p,central,low,velar,labial,0,132,132,119,space,1.01729893684,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
43,Sentivo "peco" di nuovo,Sentivo X di nuovo,peco,p,e,k,front,mid-high,labial,velar,0,133,133,42,space,0.77130484581,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
16,Ripete "popo" da sempre,Ripete X da sempre,popo,p,o,p,back,mid-low,labial,labial,0,134,134,15,space,0.971653938293,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
142,Ha detto "cheto" sei volte,Ha detto X sei volte,cheto,k,e,t,front,mid-high,velar,coronal,0,135,135,141,space,0.870758056641,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
29,Scrivete "poto" sul foglio,Scrivete X sul foglio,poto,p,o,t,back,mid-low,labial,coronal,0,136,136,28,space,0.887719869614,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
2,Ha detto "papo" sei volte,Ha detto X sei volte,papo,p,a,p,central,low,labial,labial,0,137,137,1,space,1.07195687294,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
54,Ha detto "puco" sei volte,Ha detto X sei volte,puco,p,u,k,back,high,labial,velar,0,138,138,53,space,1.02194881439,2018_Sep_07_1744,60.35838250107929,italian-egg,it17,
