sound,time,period,maximum.abs,minimum.abs,maximum,minimum
mod2bre,3.7840970759875985,0.008190953925772515,3.788762604553089,3.7909592654906015,0.5695952642110128,0.8377765966197638
mod2bre,3.792288029913371,0.008178751460655942,3.796885938376181,3.799176081378855,0.5621773060262518,0.8421886272763023
mod2bre,3.800466781374027,0.008384199915397073,3.80510886747868,3.807404104405709,0.5536707320311282,0.8274281507698868
mod2bre,3.808850981289424,0.00793156229312686,3.8132517404478845,3.8155605021146517,0.5548414039783817,0.8459267641435361
mod2bre,3.816782543582551,0.008226436240710289,3.821414245548701,3.8237326612920572,0.5630265440129412,0.8448515865366127
mod2bre,3.825008979823261,0.008194991279852903,3.8295460283538016,3.831844895789703,0.5536367734392423,0.8341578084711097
mod2bre,3.833203971103114,0.008097932390609852,3.837693597348577,3.8399972108492535,0.554416365672435,0.8388857079143678
mod2bre,3.841301903493724,0.008155068308913549,3.8458382058948906,3.8481617420654,0.5562555982772622,0.8411748757736577
mod2bre,3.8494569718026375,0.008201870359001884,3.8539826481510473,3.8562932522618456,0.5517858915488371,0.83350262317973
mod2bre,3.8576588421616393,0.008155308687894713,3.862116942972401,3.864435404567528,0.5466501614315282,0.830938798913598
mod2bre,3.865814150849534,0.008081621308462683,3.8701965532792406,3.872549092765413,0.5422677285209486,0.8333651947816908
mod2bre,3.8738957721579967,0.008083842741143599,3.8783297217976864,3.880688606600364,0.5484952864214704,0.8402976975039658
mod2bre,3.8819796148991403,0.008187897847565129,3.8864552466298017,3.8888100935386163,0.5466154822623103,0.8342163967650323
mod2bre,3.8901675127467055,0.008083382724620503,3.8946064974466097,3.8969376937258224,0.549149390933067,0.8375430447572695
mod2bre,3.898250895471326,0.008130336851950304,3.9027315826833826,3.905086896461696,0.5511072042460095,0.8408016930725363
mod2bre,3.9063812323232763,0.008116644564626352,3.9108725137819116,3.9132296451825286,0.5533421382290215,0.8437492617452779
mod2bre,3.9144978768879026,0.008239448245004777,3.9191111875652274,3.921413811705805,0.5599052922168163,0.8393686824958526
mod2bre,3.9227373251329074,0.00817856661188765,3.92728819989701,3.929594933996846,0.5564391634944671,0.8384854204122847
mod2bre,3.930915891744795,0.00821460504591176,3.935497857735868,3.937795249324147,0.5577828715396617,0.8374544534889964
mod2bre,3.939130496790707,0.00822313785557105,3.9436995230694594,3.946001288203206,0.5556305097885605,0.8355437465814085
mod2bre,3.947353634646278,0.008130042253819525,3.951863417658157,3.9541627424768375,0.5547059745919861,0.8375242856038925
mod2bre,3.9554836769000974,0.008154679059356962,3.960017791383286,3.9623306681664547,0.5560138480233805,0.839639575821304
mod2bre,3.9636383559594544,0.008122855428428277,3.968094608869483,3.970445155033743,0.548606699859851,0.8379810688820396
mod2bre,3.9717612113878826,0.008022451808637143,3.976252073178308,3.9785338254186957,0.5597866958316149,0.8442075056806877
mod2bre,3.9797836631965198,0.0082515087463646,3.98431292416789,3.986678529974596,0.5489009477649224,0.8355886165804622
mod2bre,3.9880351719428844,0.008044173190598247,3.9924313381158574,3.994741097209528,0.5465031730185884,0.833637604232731
mod2bre,3.9960793451334826,0.00803638718556865,4.0005153636611075,4.002841149278552,0.5519916381817515,0.8413985027018331
mod2bre,4.004115732319051,0.00814432126502318,4.008609501822623,4.010888410651278,0.5517672200470672,0.8315829044358475
mod2bre,4.0122600535840744,0.008070997660500012,4.016683286893041,4.018986690813216,0.5480404647636649,0.8334331779158489
mod2bre,4.0203310512445745,0.008046856713254336,4.024719710736359,4.027060492969433,0.5453880500389172,0.8362820371554636
mod2bre,4.028377907957829,0.008033706803654006,4.032775122204611,4.035105196396892,0.5473456219216356,0.8373828673961126
mod2bre,4.036411614761483,0.008057691618428287,4.040739497027424,4.0431604351595904,0.5371119262051567,0.8375625076880338
mod2bre,4.044469306379911,0.008060720756080997,4.048906143855383,4.051236427275437,0.5504268923005482,0.839518090292416
mod2bre,4.052530027135992,0.00805777388495077,4.05689769109913,4.059260464428205,0.542043500537459,0.835272544043888
mod2bre,4.060587801020943,0.008060069834077588,4.064986580962864,4.06732332076693,0.5457496066998228,0.8356651846253321
mod2bre,4.06864787085502,0.00807308446488797,4.073095532797128,4.075408436090734,0.5509247378063865,0.8374203521735406
mod2bre,4.076720955319908,0.008149509764396434,4.081209780883769,4.083525897408614,0.550809274868408,0.8350124468142788
mod2bre,4.084870465084305,0.008108992976531226,4.089347238029575,4.0916307538295715,0.5520750798806289,0.8336779628286871
mod2bre,4.092979458060836,0.008131263735370986,4.097501241349544,4.09978977508919,0.5560984658557271,0.8375471820854467
mod2bre,4.101110721796207,0.008106439285378464,4.105626400848342,4.107886121800451,0.5570484022843317,0.8358046937408014
mod2bre,4.1092171610815855,0.008202494782855396,4.113787081846419,4.116096281837916,0.5571379056997661,0.838662009357119
mod2bre,4.117419655864441,0.008153785123186985,4.121933966904004,4.1242170039631105,0.5536460639275326,0.8336432706988972
mod2bre,4.125573440987628,0.008128040046415208,4.130115583413949,4.132345087921613,0.5588238247330602,0.8331217483323916
mod2bre,4.133701481034043,0.008148706920417581,4.138260897653306,4.140486075734424,0.5595263964935213,0.8325977074204782
mod2bre,4.141850187954461,0.008188553538969856,4.146407761139351,4.14861616522368,0.5565785413993,0.8262725812341937
mod2bre,4.1500387414934305,0.008155915440727135,4.154486995862689,4.156683926434016,0.545402217762759,0.8147687391904661
mod2bre,4.158194656934158,0.008030984252691553,4.162565873259499,4.164745380802311,0.5442939729182692,0.815681323986938
mod2bre,4.166225641186849,0.00803792318688501,4.170668007107732,4.1729159528837245,0.55267583648116,0.8323433231847075
mod2bre,4.174263564373734,0.008085613393112645,4.178761711421106,4.181004858839857,0.5563148803531767,0.8337394008801784
mod2bre,4.182349177766847,0.008079952273066127,4.186817235543776,4.189097787903857,0.5529807139855355,0.8352289603870775
mod2bre,4.190429130039913,0.008122942883551865,4.194894983209102,4.197173348665027,0.5497826629105244,0.8302678871188707
mod2bre,4.198552072923465,0.008086537995755982,4.2029983109253,4.205267458094069,0.5498320794595108,0.8304400689304806
mod2bre,4.206638610919221,0.008023330002846052,4.211082652870778,4.213389152735833,0.5538899621454972,0.8413640987243091
